,gender,group,parental_education,lunch,test_preparation_course,math_score,reading_score,writing_score,avg_score,grades
0,female,group B,bachelor's degree,standard,none,72,72,74,72.67,B
1,female,group C,some college,standard,completed,69,90,88,82.33,A
2,female,group B,master's degree,standard,none,90,95,93,92.67,A+
3,male,group A,associate's degree,free/reduced,none,47,57,44,49.33,D
4,male,group C,some college,standard,none,76,78,75,76.33,A
5,female,group B,associate's degree,standard,none,71,83,78,77.33,A
6,female,group B,some college,standard,completed,88,95,92,91.67,A+
7,male,group B,some college,free/reduced,none,40,43,39,40.67,D
8,male,group D,high school,free/reduced,completed,64,64,67,65.0,C
9,female,group B,high school,free/reduced,none,38,60,50,49.33,D
10,male,group C,associate's degree,standard,none,58,54,52,54.67,D
11,male,group D,associate's degree,standard,none,40,52,43,45.0,D
12,female,group B,high school,standard,none,65,81,73,73.0,B
13,male,group A,some college,standard,completed,78,72,70,73.33,B
14,female,group A,master's degree,standard,none,50,53,58,53.67,D
15,female,group C,some high school,standard,none,69,75,78,74.0,B
16,male,group C,high school,standard,none,88,89,86,87.67,A+
17,female,group B,some high school,free/reduced,none,18,32,28,26.0,D
18,male,group C,master's degree,free/reduced,completed,46,42,46,44.67,D
19,female,group C,associate's degree,free/reduced,none,54,58,61,57.67,C
20,male,group D,high school,standard,none,66,69,63,66.0,B
21,female,group B,some college,free/reduced,completed,65,75,70,70.0,B
22,male,group D,some college,standard,none,44,54,53,50.33,D
23,female,group C,some high school,standard,none,69,73,73,71.67,B
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,B
25,male,group A,master's degree,free/reduced,none,73,74,72,73.0,B
26,male,group B,some college,standard,none,69,54,55,59.33,C
27,female,group C,bachelor's degree,standard,none,67,69,75,70.33,B
28,male,group C,high school,standard,none,70,70,65,68.33,B
29,female,group D,master's degree,standard,none,62,70,75,69.0,B
30,female,group D,some college,standard,none,69,74,74,72.33,B
31,female,group B,some college,standard,none,63,65,61,63.0,C
32,female,group E,master's degree,free/reduced,none,56,72,65,64.33,C
33,male,group D,some college,standard,none,40,42,38,40.0,D
34,male,group E,some college,standard,none,97,87,82,88.67,A+
35,male,group E,associate's degree,standard,completed,81,81,79,80.33,A
36,female,group D,associate's degree,standard,none,74,81,83,79.33,A
37,female,group D,some high school,free/reduced,none,50,64,59,57.67,C
38,female,group D,associate's degree,free/reduced,completed,75,90,88,84.33,A
39,male,group B,associate's degree,free/reduced,none,57,56,57,56.67,C
40,male,group C,associate's degree,free/reduced,none,55,61,54,56.67,C
41,female,group C,associate's degree,standard,none,58,73,68,66.33,B
42,female,group B,associate's degree,standard,none,53,58,65,58.67,C
43,male,group B,some college,free/reduced,completed,59,65,66,63.33,C
